,description
EM_Model_HumanCapital_epsiig,Infrastructure investment shock
EM_Model_HumanCapital_epsicge,Human capital investment shock
EM_Model_HumanCapital_epsiigeff30y,Infrastructure: investment + efficiency (20y)
EM_Model_HumanCapital_epsiigeff25y,Infrastructure: investment + efficiency (25y)
EM_Model_HumanCapital_epsicgeeff30y,Human capital: investment + efficiency (20y)
EM_Model_HumanCapital_epsicgeeff25y,Human capital: investment + efficiency (25y)
JAM_Model_HumanCapital_epsiig,Jamaica infrastructure investment shock
JAM_Model_HumanCapital_epsicge,Jamaica human capital investment shock
JAM_Model_HumanCapital_epsiigeff30y,Jamaica infrastructure: investment + efficiency (by 2040)
JAM_Model_HumanCapital_epsicgeeff30y,Jamaica human capital: investment + efficiency (by 2040)
